
---------- Begin Simulation Statistics ----------
simSeconds                                   0.237205                       # Number of seconds simulated (Second)
simTicks                                 237204951000                       # Number of ticks simulated (Tick)
finalTick                                237204951000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7414.15                       # Real time elapsed on the host (Second)
hostTickRate                                 31993542                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2265084                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   134877                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     152703                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        474409903                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.474410                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.107882                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1276532564                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1941                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1213407304                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5638                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            144370867                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         405053610                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           474310877                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.558253                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.955204                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73270545     15.45%     15.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  89514164     18.87%     34.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  94939509     20.02%     54.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  82316801     17.36%     71.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  51171357     10.79%     82.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44673414      9.42%     91.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19172712      4.04%     95.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10044051      2.12%     98.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9208324      1.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             474310877                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2933856     18.67%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.67% # attempts to use FU when none available (Count)
