
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231168                       # Number of seconds simulated (Second)
simTicks                                 231168279500                       # Number of ticks simulated (Tick)
finalTick                                231168279500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7445.11                       # Real time elapsed on the host (Second)
hostTickRate                                 31049693                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2265084                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   134316                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     152068                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        462336560                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.462337                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.162927                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235259978                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1944                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1195353675                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5179                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            103098284                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281396670                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  92                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           462236858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.586020                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.930295                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64545839     13.96%     13.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92529599     20.02%     33.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90857616     19.66%     53.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79972202     17.30%     70.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53671263     11.61%     82.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43051893      9.31%     91.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20064932      4.34%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9489983      2.05%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8053531      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             462236858                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2653040     17.91%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.91% # attempts to use FU when none available (Count)
