
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231047                       # Number of seconds simulated (Second)
simTicks                                 231046727500                       # Number of ticks simulated (Tick)
finalTick                                231046727500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6249.68                       # Real time elapsed on the host (Second)
hostTickRate                                 36969368                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2265084                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160008                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     181155                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        462093456                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.462093                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.164064                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1233548088                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1948                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1194563789                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5243                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            101386398                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         276176677                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  96                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           461991275                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.585685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.928338                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64171783     13.89%     13.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92886498     20.11%     34.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90758112     19.64%     53.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79935686     17.30%     70.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53755079     11.64%     82.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43069457      9.32%     91.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19970767      4.32%     96.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9389338      2.03%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8054555      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             461991275                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2650927     17.89%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.89% # attempts to use FU when none available (Count)
